name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,1,100900,200912,,1,12,1,1,1,1,12
,2,200912,300922,,1,10,1,1,1,1,10
,3,300922,400935,,1,13,1,1,1,1,13
,4,400910,300922,,1,12,1,1,1,1,12
,5,300922,300935,,1,13,1,1,1,1,13
,6,300935,200938,,1,3,1,1,1,1,3
,7,200938,100941,,1,3,1,1,1,1,3
,8,100922,200937,,1,15,1,1,1,1,15
,9,200937,200940,,1,3,1,1,1,1,3
,10,200940,300952,,1,12,1,1,1,1,12
,11,300952,401005,,1,13,1,1,1,1,13
,12,100935,200947,,1,12,1,1,1,1,12
,13,200947,300957,,1,10,1,1,1,1,10
,14,300957,401010,,1,13,1,1,1,1,13
,15,400938,300950,,1,12,1,1,1,1,12
,16,300950,201003,,1,13,1,1,1,1,13
,17,201003,201005,,1,2,1,1,1,1,2
,18,201005,101020,,1,15,1,1,1,1,15
,19,10200855,10200905,,1,10,1,1,1,1,10
,20,20200908,20200916,,1,8,1,1,1,1,8
,21,20100908,20100916,,1,8,1,1,1,1,8
,22,30200918,30200926,,1,8,1,1,1,1,8
,23,30100918,30100926,,1,8,1,1,1,1,8
,24,40100930,40100940,,1,10,1,1,1,1,10
,25,10200935,10200947,,1,12,1,1,1,1,12
,26,20200933,20200943,,1,10,1,1,1,1,10
,27,20100933,20100943,,1,10,1,1,1,1,10
,28,30200916,30200928,,1,12,1,1,1,1,12
,29,30100929,30100941,,1,12,1,1,1,1,12
,30,40100904,40100916,,1,12,1,1,1,1,12
,31,10200917,10200927,,1,10,1,1,1,1,10
,32,20200932,20200942,,1,10,1,1,1,1,10
,33,20100935,20100945,,1,10,1,1,1,1,10
,34,30200948,30200956,,1,8,1,1,1,1,8
,35,30100948,30100956,,1,8,1,1,1,1,8
,36,40101000,40101010,,1,10,1,1,1,1,10
,37,10200929,10200940,,1,11,1,1,1,1,11
,38,20200942,20200952,,1,10,1,1,1,1,10
,39,20100942,20100952,,1,10,1,1,1,1,10
,40,30200952,30201002,,1,10,1,1,1,1,10
,41,30100952,30101002,,1,10,1,1,1,1,10
,42,40101004,40101016,,1,12,1,1,1,1,12
,43,10201015,10201025,,1,10,1,1,1,1,10
,44,20200958,20201008,,1,10,1,1,1,1,10
,45,20101000,20101010,,1,10,1,1,1,1,10
,46,30200946,30200954,,1,8,1,1,1,1,8
,47,30100946,30100954,,1,8,1,1,1,1,8
,48,40100933,40100943,,1,10,1,1,1,1,10
